Марка,Цена,Фото
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 500GB SSD m.2 NVMe+1TB HDD, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]",26487 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,1TB,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",26487 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3344_3597.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26585 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1666.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26978 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_3364.jpg
"Ноутбук Lenovo V15 IGL, Celeron N4020 (up to 2.8Ghz), 4GB, 1000GB SSD m.2 NVMe, 15,6"" HD (1366х768), Intel UHD Graphics 600, без привода, WiFi+BT, HD Web Camera, FreeDOS, Eng-Rus, Iron Grey, бесшумный [82C3001NAK]",26978 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY",27174 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_1798.webp
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",27272 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8793.jpg
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY",27370 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_3169.webp
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",27468 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4559_8217.jpg
"Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 (1.10-2.80GHz), 4GB DDR4, 1TB HDD, Intel UHD Graphics 600, 15.6""FHD (1920x1080) LED, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Black",27664 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1001598121_3_644x461_new-hp-15-laptop-intel-core-i3-free-laptop-bag-computers-laptops_2331.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",27959 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1871.jpg
"Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,SSD 480Gb,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",27959 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3593.png
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",28057 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2672_7257.jpg
"Ноутбук Lenovo V145-15AST 81MT0017RU AMD A6-9225 (2.60-3.00GHz), 4GB DDR4, 1TB HDD, DVD±RW, AMD Radeon R4, 15.6""FHD (1920x1080) LED, WiFi ac, BT 4.1, WC, CR, DOS, Русская клавиатура, Black",28351 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1 ) v145 ideapad-15-hero_2850.webp
"Ноутбук Lenovo V15-82C3 Intel N4020 1.1-2.8GHz,4GB,SSD480Gb,15""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng",28449 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7094.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",29430 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7620.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",29921 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3155_2974.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",30902 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1) l340 15 платин_7718.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",31294 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5667_5071.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",31392 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/10)  s145-15iwl platinum grey_1059.jpg
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/1TB/15.6""/DVDRW/1B-Star Grey/Win10/Rus+Eng",31392 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4771_6308.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 500GB, 15.6""FHD RUS, HDMI, BLACK",31686 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1242_8686.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",31784 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1014_1919.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",31784 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5739_5188.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",31883 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6417_3457.jpg
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,4GB,SSD 120GB,RUS,SILVER",31883 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK",31883 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3179_2607.jpg
"Ноутбук HP 15s-eq1136ur 22P99EA#ACB AMD Athlon Silver 3050U (2.30GHz-3.20GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Gray",31883 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1655.jfif
"ASUS X515FA Grey Intel Core i3-10110U (up to 4.1Ghz), 4GB, 128GB SSD, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus",32079 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Ноутбук Asus X515FA Intel Core i3-10110U (up to 4.1Ghz), 15.6"" LED FULL HD (1920 x 1080), 4GB, 120GB SSD, Intel HD Graphics 620, PCIe NVMe, без привода, WiFi, BT, Cam, Win11 home eng, Eng-Ru, темно серебристый",32177 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3421_5321.jpg
"ASUS VivoBook X515FA-EJ185W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,1TB, WIN11,RUS,SILVER",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2979_2751.jpg
"ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,1TB, WIN11,RUS,SLATE GRAY",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2152_4581.jpg
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,4GB,1TB, WIN11,RUS,SILVER",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2819_6186.jpg
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,4GB,SSD 240GB,RUS,SILVER",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8416_6145.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2473_8994.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6025_7227.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7870.jpg
"Ноутбук HP 15s-eq1136ur 22P99EA#ACB AMD Athlon Silver 3050U (2.30GHz-3.20GHz), 4GB DDR4, 256GB SSD, AMD Radeon Graphics, 15.6""FHD (1920x1080) IPS, WiFi ac, BT 4.2, HD WC, CR, DOS, Gray",32373 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",32471 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_4862.jpg
"ASUS X515FA Grey Intel Core i3-10110U (up to 4.1Ghz), 4GB, 500GB, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus",32667 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"ASUS X515FA Grey Intel Core i3-10110U (up to 4.1Ghz), 4GB, 1TB, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus",32765 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"ASUS X515FA Grey Intel Core i3-10110U (up to 4.1Ghz), 4GB, 256GB SSD, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus",32864 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 500GB, 15.6""FHD RUS, HDMI, BLACK",32864 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4434_5759.jpg
"Ноутбук Acer Aspire 315-56-3193 Black Intel Core i3-1005G1 (up to 3.4Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graph 620, 15.6"" LED FULL HD (1920x1080), WiFi,BT,Cam,LAN RJ45,DOS, Eng-Rus[NX.HS5EM.01L]",32864 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Ноутбук Asus X515FA Intel Core i3-10110U (up to 4.1Ghz), 15.6"" LED FULL HD (1920 x 1080), 4GB, 1TB, Intel HD Graphics 620, PCIe NVMe, без привода, WiFi, BT, Cam, Win11 home eng, Eng-Rus, темно серебр",32864 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Ноутбук Asus X515FA Intel Core i3-10110U (up to 4.1Ghz), 15.6"" LED FULL HD (1920 x 1080), 4GB, 240GB SSD, Intel HD Graphics 620, PCIe NVMe, без привода, WiFi, BT, Cam, Win11 home eng, Eng-Ru, темно серебристый",32864 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY",32962 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5251_3223.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",32962 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_6153.jpg
"Ноутбук ASUS X515JA-BR3991W Intel Core i3-1005G1 (up to 3.4Ghz), 4GB, 512GB SSD m.2 NVMe, Intel HD Graphics 620, 15.6"" HD , Wi Fi, BT, Cam, Win11 Home, Eng-Rus, серебристый",32962 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB,SSD 120GB, 15.6""FHD RUS, HDMI, BLACK",33060 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1685.jpg
"Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY",33060 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5288_3872.jpg
"Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 120GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY",33158 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4591_4454.jpg
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 128GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4609_3930.jpg
"ASUS X515FA Grey Intel Core i3-10110U (up to 4.1Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics 620, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 128GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5344_5429.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/10)  s145-15iwl platinum grey_1099.jpg
"Notebook Foxcon Metal Silver Intel Core i5-5257U (2.7-3.1Ghz), 8GB, 120GB SSD, Intel HD Graphics 6100, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Backlight Keyboard, Eng-Rus",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2837.jpg
"Ноутбук ASUS-X543M/Intel N4020/DDR4 4GB/SSD-120GB/15.6""/DVDRW/1B-Star Grey/Rus+Eng",33354 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2934.jpg
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 128GB SSD, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus в комплекте",33452 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7408.png
"AsusPRO P1440FA-BV3736 Intel Core i3-10110U (up to 4.1Ghz), 14"" HD (1366х768), 8GB, 1TB, Intel HD Graphics 620, WiFi 6, BT 5.0, Cam, LAN, RJ45, VGA, HDMI, замок Kensington, Fingerprint Scaner (Сканер отпечатка пальцев), Eng-Rus, BLACK + сумка Asus в комплекте",33452 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4683.png
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",33550 Сом,https://enter.kg/computers/noutbuki_bishkek/images/novinka.gif
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,8GB,1TB, WIN11,RUS,SILVER",33550 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1655.jpg
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,8GB,SSD 240GB,RUS,SILVER",33550 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1810_7362.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 1TB, 15.6""FHD RUS, HDMI, BLACK",33550 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_7803.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB,SSD 240GB, 15.6""FHD RUS, HDMI, BLACK",33550 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8218_5894.jpg
"ASUS VivoBook X515JA 15.6"" FHD i3-1005G1 1.2-3.4GHz,4GB,SSD 480GB,RUS,SILVER",33648 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5826.jpg
"Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB,SSD 480GB, 15.6""FHD RUS, HDMI, BLACK",33648 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4022_3030.jpg
"Lenovo V15 GEN2 ITL Black Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 500GB, Intel UHD Graphics Xe G4 48EUs, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus + BAG (сумка в комплекте)",33746 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
"Ноутбук Lenovo L3 15IML05 Intel Pentium Gold 6405U (2.40Ghz), 8GB, 240GB SSD, Int VGA, no DVD±RW, 15.6"" LED, M.2 NVMe, WiFi, Bluetooth, Win10 HOME Eng-Ru, серебро андрей (7)",33780 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1) l3_3399_5194.webp
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",33845 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_3028_2839.jpg
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",33845 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8288.jpg
"Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",33845 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/10)  s145-15iwl platinum grey_8220.jpg
"Lenovo V15 GEN2 ITL Black Intel Core i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD, Intel UHD Graphics Xe G4 48EUs, 15.6"" LED FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus + BAG (сумка в комплекте)",33845 Сом,https://enter.kg/computers/noutbuki_bishkek/images/yandex.png
